generation_id,prompt_condition,response_record_present,transport_success,content_present,valid_n,rejected_n,complete_100,fit_status,zipf_beta,zipf_r2,road_beta,road_r2,gdp_beta,gdp_r2,population_unique_ratio,population_log10_span,road_unique_ratio,road_log10_span,gdp_unique_ratio,gdp_log10_span,road_log_residual_sd,gdp_log_residual_sd
source_matched_baseline_011,Baseline prompt,1,1,1,87,0,0,ok,-0.6189184804517428,0.827935891858252,0.897776956351005,0.9911095341738962,1.1136967155666249,0.9867358768829674,1.0,0.9219646746348004,1.0,0.8272818626242953,0.9540229885057472,1.0211892990699385,0.0532883704851327,0.0809223164297958
source_matched_blueprint_011,Blueprint prompt,1,1,1,87,0,0,ok,-1.5475378046388688,0.8644173552481202,0.7224379620472556,0.98329466812531,1.0376711404805556,0.9976477345820804,0.8850574712643678,2.5650764250747926,0.8735632183908046,1.8450980400142571,0.942528735632184,2.594234653816006,0.144408666620659,0.0772718441697475
source_matched_baseline_012,Baseline prompt,1,1,1,89,0,0,ok,-0.6131651037773583,0.7656241664004815,0.90328880681712,0.983992947748452,0.9350226379145428,0.9920711634222208,1.0,1.069506637464797,1.0,0.8212581661642706,0.9662921348314608,0.990955360719164,0.0744757763074053,0.0540361212835669
source_matched_blueprint_012,Blueprint prompt,1,1,1,95,0,0,ok,-1.9091987890072235,0.8301387044976519,0.9077405202161696,0.9910557758249648,0.881254099662572,0.9953479848249516,1.0,3.3401601024000005,1.0,3.019239580700732,1.0,3.177330331171229,0.1672649708533482,0.1168571334361824
source_matched_baseline_013,Baseline prompt,1,1,1,84,0,0,ok,-0.3592720478116009,0.8232518607566017,0.7559164639687581,0.9928222644245543,0.9693437719264716,0.9900261010236824,0.988095238095238,0.5586878014823622,1.0,0.3936226623311403,1.0,0.5594046173987697,0.0234035108485216,0.0354271502273635
source_matched_blueprint_013,Blueprint prompt,1,1,1,90,0,0,ok,-1.8995246124756031,0.8819301096115636,0.8899306930518716,0.9864169543569606,0.8765669179242523,0.9985845540666308,1.0,3.4405375466558854,1.0,2.9605533725352213,1.0,3.0545782371854897,0.1949710561294846,0.0616147852744843
source_matched_baseline_014,Baseline prompt,1,1,1,90,0,0,ok,-0.5709041268829229,0.8407929493721373,1.0017484812800954,0.9912723010330096,1.149399009574911,0.994466206389402,1.0,0.9636921702962676,1.0,0.9117785674801696,0.9888888888888888,1.1248606190648025,0.0540192488268669,0.0492746714157931
source_matched_blueprint_014,Blueprint prompt,1,1,1,96,0,0,ok,-1.8848621224984636,0.8958220129791155,1.0212664405036689,0.9963520514153952,0.9246662034326,0.998897114002268,1.0,3.3043122093633026,1.0,3.383537760992455,0.9583333333333334,2.991945610460379,0.113973525058756,0.0566678703767555
source_matched_baseline_015,Baseline prompt,1,1,1,86,0,0,ok,-0.4037219090215294,0.7539678760534256,0.9816193146870968,0.9934466977860504,1.0962339742092069,0.9825224659571696,1.0,0.7342134344499094,1.0,0.6988467244519803,0.9883720930232558,0.791199705584194,0.0341319441513544,0.0625939284776169
source_matched_blueprint_015,Blueprint prompt,1,1,1,94,0,0,ok,-1.11947163130712,0.8613949314114012,0.8941854667782901,0.9930675150677316,1.0219538087168951,0.9964898098586638,0.925531914893617,1.9671187736053444,0.946808510638298,1.6836079706546938,0.9787234042553192,1.9426066671514133,0.0833686423195489,0.0676830933562781
source_matched_baseline_016,Baseline prompt,1,1,1,90,0,0,ok,-0.4051818979765362,0.7895040454721506,0.9731514701681796,0.9748839527985604,1.151608890362848,0.9803867176181472,1.0,0.783063152057605,0.9888888888888888,0.7284047152100595,0.9888888888888888,0.9374052422168746,0.06574614371016,0.0685602033931641
source_matched_blueprint_016,Blueprint prompt,1,1,1,97,2,0,ok,-1.2209951458151205,0.8753811192205575,1.1563953305232886,0.9760425940598504,1.067254542388426,0.9944323239783508,0.8969072164948454,2.3679767852945943,0.9072164948453608,2.5070844780971058,0.9278350515463918,2.649473944215942,0.2190860141138297,0.0965695456087192
source_matched_baseline_017,Baseline prompt,1,1,1,90,0,0,ok,-0.3452592303005117,0.7297519861547812,0.9035291530923422,0.9842822145737128,1.2236098410354652,0.9735081163860978,1.0,0.7553000329269235,0.9888888888888888,0.6038504226076054,0.9888888888888888,0.797406049676382,0.0425944962817398,0.07530174662662
source_matched_blueprint_017,Blueprint prompt,1,1,1,92,0,0,ok,-1.6894726215954283,0.90953978229816,0.6381059835985246,0.9923106895674366,0.8180600736295751,0.9968753878607888,0.9456521739130436,2.556302500767288,0.9130434782608696,1.7514543590154572,0.717391304347826,2.24551266781415,0.0919548389498133,0.0749764246275898
source_matched_baseline_018,Baseline prompt,1,1,1,90,0,0,ok,-0.4942792168196301,0.7947894847610674,0.9415782269696206,0.9838878560121164,1.039537677151437,0.9869597152809594,1.0,0.898962332934838,1.0,0.8818139030847276,1.0,0.9866733217387668,0.0616629603200187,0.0611502383799079
source_matched_blueprint_018,Blueprint prompt,1,1,1,94,0,0,ok,-2.3946829945139587,0.8674071184080192,0.8106233088080057,0.9980358234846244,1.0152541098050027,0.9911666290977736,1.0,4.5056097925311,1.0,3.387800377321158,0.4787234042553192,4.222716471147583,0.0855423003028324,0.2279865878577505
source_matched_baseline_019,Baseline prompt,1,1,1,85,0,0,ok,-0.5210205754710181,0.8047652268688065,0.7672066978735926,0.9887625668708429,1.0078829406044163,0.9809126779498047,1.0,0.8206299998142663,1.0,0.6655747050384582,1.0,0.9387480079204074,0.0437115345323235,0.0751386757079398
source_matched_blueprint_019,Blueprint prompt,1,1,1,91,0,0,ok,-1.6744121157899463,0.9671631880543612,0.7507182104632054,0.9840370689310208,1.0299509932817403,0.9942714795156576,1.0,2.69897000433602,1.0,2.08167004645132,0.8131868131868132,2.7736036226329226,0.1503529464065234,0.1229333474675253
source_matched_baseline_020,Baseline prompt,1,1,1,94,0,0,ok,-0.3012877557971077,0.8697262401228355,0.740980308157496,0.9733331696081584,1.1456095798554218,0.9907162790454724,1.0,0.6219546343937896,0.9787234042553192,0.4244095488574086,1.0,0.6150774873853961,0.0366572520826105,0.0331452522170443
source_matched_blueprint_020,Blueprint prompt,1,1,1,92,0,0,ok,-1.7513388502675828,0.874863223652217,0.6843913953768884,0.9967773403855724,0.8734830399297526,0.9982445604710648,1.0,2.9547970870392533,1.0,1.9038875895704064,0.7934782608695652,2.514990233067287,0.0673339949659329,0.0633797671063149
source_matched_baseline_021,Baseline prompt,1,1,1,95,0,0,ok,-0.2972016163182489,0.7724844493915668,0.7102945087167823,0.9742081917471545,1.1538128329463009,0.99656818789771,0.9473684210526316,0.5437029375764357,0.9894736842105264,0.3815995044235265,0.9894736842105264,0.5892271269872653,0.0361746991063579,0.0211931283817229
source_matched_blueprint_021,Blueprint prompt,1,1,1,88,0,0,ok,-1.2876858102920803,0.9344301135342248,1.0091680101778633,0.9951810093965326,0.9946022200472512,0.9944438770938604,0.9090909090909092,2.630455362887427,0.875,2.831709842596904,0.9886363636363636,2.639201799332529,0.086242766319418,0.0913013944859246
source_matched_baseline_022,Baseline prompt,1,1,1,92,0,0,ok,-0.4206010440596584,0.7497916488188033,0.9440905320517624,0.9842956441215682,1.1827990201789975,0.995197130380144,1.0,0.7865863151941817,1.0,0.7002968320035006,1.0,0.8910406913033404,0.0535281916476169,0.0368831873118357
source_matched_blueprint_022,Blueprint prompt,1,1,1,92,1,0,ok,-1.5264061972368794,0.8869449867319004,0.9644644450021954,0.993475085719662,1.0243700291321984,0.9909847508253928,1.0,2.93294569842877,1.0,2.5824644352645816,0.6086956521739131,2.828015064223977,0.11706808550288,0.1463374975210782
source_matched_baseline_023,Baseline prompt,1,1,1,91,0,0,ok,-0.4351526220968895,0.615325440035116,0.7473899685982874,0.9517718506910858,0.6248249160552956,0.9563759596326776,1.0,0.9152740015898102,0.978021978021978,0.8807965085334928,0.978021978021978,0.710507917729776,0.086197015298695,0.0683703889538483
source_matched_blueprint_023,Blueprint prompt,1,1,1,91,0,0,ok,-1.5779029653828245,0.9266096989492394,0.8942321143321559,0.9847189962962326,0.972757769590856,0.9982829977193532,1.0,2.706351957958618,1.0,2.4259687322722816,0.7362637362637363,2.5457193561568654,0.1686451439189708,0.0610755100313603
source_matched_baseline_024,Baseline prompt,1,1,1,100,0,1,ok,-0.5012472797367349,0.8073429718658798,0.8698582706409179,0.9902235996511852,0.7252483957386254,0.9406642922957932,1.0,1.0053274148189075,0.95,0.9019082325705154,0.99,0.7132815518391471,0.0447473385350674,0.0943025357173966
source_matched_blueprint_024,Blueprint prompt,1,1,1,88,0,0,ok,-1.4570562201229944,0.8944911070200792,0.6697373761757457,0.9958183925578324,0.7752977262806335,0.9979812935871556,1.0,2.532638582569493,1.0,1.6127838567197357,0.9545454545454546,2.0377885608894,0.0616410597654564,0.0495253887512694
source_matched_baseline_025,Baseline prompt,1,1,1,83,0,0,ok,-0.3319901064823797,0.7552839673460476,1.1111986901885096,0.9682969706191494,0.9190440169765376,0.9788350048814708,0.9879518072289156,0.54937359770451,1.0,0.6764188934993767,0.9879518072289156,0.5089429673370451,0.0705847451742866,0.047442076307365
source_matched_blueprint_025,Blueprint prompt,1,1,1,90,0,0,ok,-1.375373662350133,0.86894676625337,0.8595447702808511,0.9921598362815373,1.055644500809037,0.9817029522777452,0.8777777777777778,2.5936268237911,0.7555555555555555,1.964835582936749,0.8,2.311753861055754,0.1040596036677728,0.1962727791751949
source_matched_baseline_026,Baseline prompt,1,1,1,97,0,0,ok,-0.5293742741620157,0.7728767718472005,0.7955150524733571,0.9919653598826256,1.0692978430270574,0.99729631260619,1.0,0.8869739974654314,0.9896907216494846,0.6747374227745855,0.9896907216494846,0.93358450750098,0.0399483210915533,0.0310656175489808
source_matched_blueprint_026,Blueprint prompt,1,1,1,96,0,0,ok,-2.075800855190214,0.924782480047567,1.2323173135658851,0.979289821139298,1.275009664379774,0.9872481692759114,1.0,3.638416198752446,1.0,4.427323786357247,1.0,4.650015952471838,0.358263857436844,0.2896881434580217
source_matched_baseline_027,Baseline prompt,1,1,1,91,0,0,ok,-0.6973309432067053,0.887503544576534,0.9535730630645408,0.9929249372440466,1.1583225452099966,0.9920049807782886,1.0,1.187076701410816,0.7582417582417582,1.0889410833367816,0.978021978021978,1.258587746254783,0.0550283798187062,0.0710899406695552
source_matched_blueprint_027,Blueprint prompt,1,1,1,92,0,0,ok,-1.5417235959428388,0.921050063351046,0.4658905235562488,0.9801186988803064,0.7658448994878355,0.9964751984652438,1.0,2.544068044350276,1.0,1.2414443056797375,0.9347826086956522,1.888026240556068,0.0985039036953138,0.0676178585750069
source_matched_baseline_028,Baseline prompt,1,1,1,88,0,0,ok,-0.3750674930980078,0.6961269727011612,1.0309047694451434,0.992595278170918,1.070475913108547,0.9826821678407786,0.7727272727272727,0.781944239400783,0.5227272727272727,0.7945416665718126,0.9545454545454546,0.8809245373527712,0.0369018145337004,0.0588949457962213
source_matched_blueprint_028,Blueprint prompt,1,1,1,94,0,0,ok,-1.4790925638705654,0.9290680826406932,0.7698782824487376,0.9807839930624136,0.9650366108242018,0.9979932329523128,0.9680851063829788,2.531478917042256,0.925531914893617,2.0321846833714017,0.925531914893617,2.397940008672037,0.1529842236757219,0.0614339105921236
source_matched_baseline_029,Baseline prompt,1,1,1,90,0,0,ok,-0.4550854694212679,0.7812122646966289,0.7950728885750351,0.9083603141704356,1.0561625893194426,0.987143688364536,1.0,0.948856745396072,0.9777777777777776,0.7630978078958064,1.0,1.0275604815258783,0.1200178685219824,0.0572829049944024
source_matched_blueprint_029,Blueprint prompt,1,1,1,87,0,0,ok,-1.4740873499276876,0.9459093067790968,0.96157163621718,0.9954372491543542,0.9774082129101908,0.99799217895734,0.9655172413793104,2.497324640807949,0.9310344827586208,2.397940008672037,0.9885057471264368,2.429213787085428,0.090910491665015,0.0612210600034644
source_matched_baseline_030,Baseline prompt,1,1,1,93,0,0,ok,-0.5412044670698987,0.7717661180705092,0.9373254540872764,0.9910535802845182,0.9608100071053614,0.9884524492014832,1.0,1.0578291579504553,1.0,1.0772053975353852,0.956989247311828,1.0841789362031344,0.0507284918427753,0.059154806820607
source_matched_blueprint_030,Blueprint prompt,1,1,1,90,0,0,ok,-1.390382411358031,0.8777657551482987,0.6382137426962272,0.9983129648958876,0.5932823198014925,0.981598959630109,1.0,2.53655844257153,1.0,1.664207898076807,1.0,1.6283889300503116,0.035938306386816,0.1112700547398087
source_matched_baseline_031,Baseline prompt,1,1,1,87,0,0,ok,-0.4263963501048365,0.8054829146140713,0.9721152434062746,0.991504948014368,1.0435007210374576,0.9946590481220412,1.0,0.7402030956049765,0.9080459770114944,0.6927846274051608,0.9885057471264368,0.7717964237487982,0.0393881970453431,0.0334716975293327
source_matched_blueprint_031,Blueprint prompt,1,1,1,93,0,0,ok,-1.363526014306314,0.942373592639247,1.0465737564650148,0.9882898677219606,1.0697579968897375,0.9898265592754084,1.0,2.5770477718158977,1.0,2.596992460136322,1.0,2.68674138713329,0.1479542340924882,0.1408506153368711
source_matched_baseline_032,Baseline prompt,1,1,1,91,0,0,ok,-0.6380878586466736,0.7718786493579508,0.7044530605392363,0.9862243380221564,1.0338852324546488,0.9901153037658732,1.0,0.9289369108446276,0.989010989010989,0.6302760969281844,1.0,0.9589249750889524,0.0558468049812174,0.0692929418889818
source_matched_blueprint_032,Blueprint prompt,1,1,1,71,0,0,ok,-1.586825508403091,0.902537816748066,0.7848307311602761,0.9951018030152906,1.048047574811187,0.9986955799379568,1.0,2.5696975733594813,1.0,2.057775044682227,1.0,2.673214983540082,0.0837516925790959,0.0576111300559355
source_matched_baseline_033,Baseline prompt,1,1,1,86,0,0,ok,-0.4518635493926706,0.8463821197058418,0.8924892788642237,0.9960247738449972,1.0417009684775975,0.9971645357983492,1.0,0.6902104414224501,1.0,0.618038352722639,0.9534883720930232,0.7068460268549657,0.0254992348427408,0.0251217581722237
source_matched_blueprint_033,Blueprint prompt,1,1,1,89,0,0,ok,-1.9951405073793125,0.9125513767799012,0.961859308779869,0.9878157291342778,1.1348897539928036,0.9959282139706666,1.0,3.15836249209525,1.0,2.7160033436347994,0.9438202247191012,3.464886798302651,0.2058151254705052,0.1398093005458025
source_matched_baseline_034,Baseline prompt,1,1,1,93,0,0,ok,-0.4609961425802246,0.846728765199311,0.9063809699408356,0.90948847736468,1.1137230362548594,0.9931468414112388,1.0,0.8495211035690495,1.0,0.8902909372685399,0.989247311827957,0.9351495675303024,0.1324512930622829,0.0428556365071184
source_matched_blueprint_034,Blueprint prompt,1,1,1,90,0,0,ok,-2.006447573544328,0.866979477700941,0.8444262764038772,0.9985557567592428,0.901510980640216,0.9986310856891276,1.0,3.3802112417116064,0.9777777777777776,2.894656819455081,0.8555555555555555,3.204119982655925,0.0638758895624528,0.0663892592241227
source_matched_baseline_035,Baseline prompt,1,1,1,94,0,0,ok,-0.4039346869694291,0.845588675928751,0.9800228289437976,0.9988109477752152,1.061571477224676,0.9939619750424948,1.0,0.7956255914265498,1.0,0.7767665521015381,1.0,0.8118401407378022,0.0137415172093341,0.0336241631017784
source_matched_blueprint_035,Blueprint prompt,1,1,1,89,0,0,ok,-1.5632615583955414,0.958829281153518,0.7845105350857908,0.9976302145659132,1.0774344350321334,0.990381025520236,1.0,2.6020599913279625,1.0,2.0401172232079827,1.0,2.635060251430888,0.0563103994636695,0.1563774743080906
source_matched_baseline_036,Baseline prompt,1,1,1,91,1,0,ok,-0.4694920785583576,0.8184171633187991,0.930597905761522,0.9851622206734054,1.091460026599102,0.9885525276527076,1.0,0.8966690495127319,0.989010989010989,0.8586524614613884,1.0,0.9944275805590064,0.0547400864430836,0.0562957474323595
source_matched_blueprint_036,Blueprint prompt,1,1,1,94,0,0,ok,-1.4129398426129052,0.7304480005661116,1.1032173292362693,0.9988235940489169,1.166226104697381,0.9977499757481572,1.0,2.5341348706062528,1.0,2.748338588450559,1.0,2.912772264769883,0.0579071792945555,0.0847037466194548
source_matched_baseline_037,Baseline prompt,1,1,1,100,0,1,ok,-0.6110858131538031,0.6482165776440341,0.950571199508629,0.9857125027239396,0.9809428895830926,0.981713365752117,0.99,1.5038223429428816,1.0,1.4389405037277123,1.0,1.6371113555253256,0.080612538941716,0.094304683330992
source_matched_blueprint_037,Blueprint prompt,1,1,1,90,0,0,ok,-1.307492065888926,0.9437542276006644,0.9394499336893848,0.989896557833196,1.0675338498655047,0.986118408178726,0.8222222222222222,2.376750709602099,0.6777777777777778,2.187990482355389,0.6111111111111112,2.562292864456474,0.1179073348216511,0.1573490649626066
source_matched_baseline_038,Baseline prompt,1,1,1,97,0,0,ok,-0.4779473977136141,0.7248704380323072,1.1179741787244564,0.9866991219546192,1.2172082203554155,0.992009001082486,0.8969072164948454,1.0069488599553278,0.7628865979381443,1.0474246499281383,0.9896907216494846,1.158671708542562,0.0675206989704039,0.056828340998777
source_matched_blueprint_038,Blueprint prompt,1,1,1,94,0,0,ok,-1.5533185739023851,0.8074496386006693,0.6474346062359954,0.9688778711686704,1.1547792609769492,0.9905462282101358,0.9042553191489362,3.213879819945081,0.9574468085106383,2.235803186427641,0.9787234042553192,3.4627722284106115,0.1855696540626192,0.1804160115882984
source_matched_baseline_039,Baseline prompt,1,1,1,91,0,0,ok,-0.5016803810992592,0.8182932156008613,0.922347189915356,0.986847967390679,1.0445424174612843,0.9922552218299132,1.0,0.932424435854018,0.967032967032967,0.7884613958698212,0.989010989010989,0.958472280022248,0.0545393940204376,0.0472675880635133
source_matched_blueprint_039,Blueprint prompt,1,1,1,96,0,0,ok,-1.5322021645183406,0.8857654184814586,0.856203598826277,0.9891407052951824,1.144367757270052,0.9896148784042966,0.9270833333333334,2.506173051777485,0.8541666666666666,2.153814864344529,0.7604166666666666,2.9444826721501687,0.1352644857051431,0.1767556325574421
source_matched_baseline_040,Baseline prompt,1,1,1,88,0,0,ok,-0.5432923168598729,0.8144459318989823,0.8528246419270162,0.9894886608895536,1.1834975359399706,0.9940563898540484,1.0,0.9811552349032916,0.9886363636363636,0.8071179945022182,0.9886363636363636,1.1251772944181453,0.0487844590778025,0.0507908107878323
