profile_id,prompt_condition,transport_success,parser_valid,parse_error,fit_success,fit_error,alpha_hat,c_hat,D_hat_km,inverse_s_r2,inverse_s_aicc,best_parametric_alternative,best_alternative_aicc,inverse_s_aicc_advantage,inverse_s_aicc_winner,unique_value_ratio,nonincreasing_step_fraction,local_reversal_count,normalized_second_difference
decay_setting_034,Blueprint prompt,1,1,,True,,1.4537848402821243,0.0058750119334551,33.2423736377274,0.9906338590914932,-737.7414630548352,exp_floor,-716.3795817814448,21.361881273390395,1.0,0.52,1.0,0.0,0.0028344671201814
decay_setting_035,Baseline prompt,1,1,,True,,1.4756522857788008,0.003284554819553,32.52001835246267,0.997766618864586,-883.041186469352,exp_floor,-679.3314627668963,203.7097237024558,1.0,0.5,1.0,0.0,0.0038872691933916
decay_setting_035,Blueprint prompt,1,1,,True,,1.7409306133583355,4.702142879086804e-31,43.003911232011504,0.9981573330475751,-881.6573682462806,exp_floor,-609.9031623852911,271.7542058609895,1.0,0.58,1.0,0.0,0.0032840722495894
decay_setting_036,Baseline prompt,1,1,,True,,2.036278120499221,0.0101280081500445,20.06967309776262,0.9978273014995488,-906.6078371364392,exp_floor,-640.6389178120409,265.9689193243984,1.0,0.31,1.0,0.0,0.0034013605442176
decay_setting_036,Blueprint prompt,1,1,,True,,1.764808396610513,0.0310242043978032,28.16078154945542,0.9931223109396224,-772.3603163055536,exp_floor,-813.151568738427,-40.79125243287342,0.0,0.45,1.0,0.0,0.0040367795469836
decay_setting_037,Baseline prompt,1,1,,True,,1.104386473622854,0.0159278305603399,16.233391751885712,0.9930668802163768,-822.3248168347538,exp_floor,-900.9523866968224,-78.62756986206864,0.0,0.38,1.0,0.0,0.0032705389848247
decay_setting_037,Blueprint prompt,0,0,empty,,,,,,,,,,,,,,,
decay_setting_038,Baseline prompt,1,1,,True,,1.4253952761656894,0.0144538950985045,24.90568626629689,0.9954200746935956,-827.5421192385874,exp_floor,-798.7887671887133,28.753352049874024,1.0,0.45,1.0,0.0,0.0025510204081632
decay_setting_038,Blueprint prompt,1,1,,True,,1.877768220172752,0.0399145490495542,38.00776491960821,0.995510052404334,-798.3113284104368,exp_floor,-744.1681430876484,54.14318532278833,1.0,0.55,1.0,0.0,0.004875283446712
decay_setting_039,Baseline prompt,1,1,,True,,1.3733663962199676,0.0132149504124108,21.815469517159805,0.9945082300119156,-818.5806810422102,exp_floor,-843.6708920770715,-25.090211034861227,0.0,0.41,1.0,0.0,0.0048590864917395
decay_setting_039,Blueprint prompt,1,1,,True,,1.9523105638533969,3.951019906783397e-27,56.76535366000476,0.9972260685869928,-827.3714346617645,exp_floor,-541.5612354190405,285.810199242724,1.0,0.68,0.98989898989899,1.0,0.0045742434904996
decay_setting_040,Baseline prompt,1,1,,True,,1.1856780766711523,0.011285452769344,33.6722987857578,0.9934849729234636,-786.5100588427256,exp_floor,-794.2989283022738,-7.788869459548209,0.0,0.58,1.0,0.0,0.0055879494655004
decay_setting_040,Blueprint prompt,1,1,,True,,2.4728078616718125,3.6963391874739377e-32,64.80415241976378,0.998650006368011,-880.9221952969159,exp_floor,-504.491189149268,376.431006147648,1.0,0.66,1.0,0.0,0.0052702399641175
