generation_id,prompt_condition,transport_success,valid_rows,invalid_rows,exact_100_valid_rows,fit_valid,fit_reason,adjusted_r2,cv_r2,condition_number,beta_residential_density,beta_functional_mix,beta_short_blocks,beta_aged_buildings,beta_tall_buildings,unique_ratio_residential_density,unique_ratio_functional_mix,unique_ratio_mean_block_area_m2,unique_ratio_aged_buildings,unique_ratio_tall_buildings,unique_ratio_pedestrian_activity
vitality_baseline_019,Baseline prompt,1,100,0,1,1,,0.9921690071903376,0.9912228002425384,26.5377769964604,0.1866295849528654,0.0344377290028219,0.3057107984736765,-0.6677072352238135,-0.2018864596016397,1.0,0.61,0.54,0.63,0.48,0.84
vitality_blueprint_019,Blueprint prompt,1,100,0,1,1,,0.9721056843321376,0.9699925584631712,10.617717146370474,0.5001115834681494,0.416229354413493,0.0833786134337574,-0.1448824384731028,0.0966108449352825,0.28,0.24,0.4,0.34,0.17,0.5
vitality_baseline_020,Baseline prompt,1,100,0,1,1,,0.9771693945939404,0.9738006123914096,16.69544399669979,0.6025107053078884,0.0842775584369403,0.2914955361326218,-0.0080756405960543,0.0150788340851685,0.19,0.17,0.33,0.09,0.15,0.36
vitality_blueprint_020,Blueprint prompt,1,100,0,1,1,,0.948755584850356,0.9315177605055268,16.780056820062352,1.0770622115388149,0.0215234823606125,-0.2388855339499264,-0.2545462455938133,-0.1406948990838814,0.42,0.27,0.72,0.61,0.45,0.68
vitality_baseline_021,Baseline prompt,1,100,0,1,1,,0.9806167502681832,0.9782586295358918,19.69422168782177,0.9591955262051182,0.1881071714759734,-0.236151003921548,-0.0399300950343289,0.0681488662606175,0.97,0.63,0.65,0.06,0.43,0.42
vitality_blueprint_021,Blueprint prompt,1,100,0,1,1,,0.981478914163024,0.9788064649681728,13.33154613497897,0.6337735183013772,-0.0318471503348451,0.3592815225771998,-0.0748683861240617,-0.0286095243034265,0.31,0.24,0.6,0.18,0.4,0.31
vitality_baseline_022,Baseline prompt,1,100,0,1,1,,0.9878821334127252,0.9855747144114608,24.26650888617187,0.6708503001373284,0.1914117100156485,0.1492111770319487,-0.0025436793502286,-0.007857537511466,0.9,0.76,0.62,0.68,0.59,0.94
vitality_blueprint_022,Blueprint prompt,1,100,0,1,1,,0.9834506464169892,0.9821822818617396,14.067150352166973,0.6911246979702661,0.2128449678232885,-0.0586608797942783,-0.1177213374070476,0.0731310645306316,0.37,0.26,0.54,0.08,0.1,0.37
vitality_baseline_023,Baseline prompt,1,100,0,1,1,,0.9806382018062728,0.9748869320305454,14.801435552514114,0.6798514938592821,0.0597093798048238,0.1973691294194359,-0.1319193067535469,-0.0691825374541285,0.34,0.18,0.48,0.12,0.19,0.37
vitality_blueprint_023,Blueprint prompt,1,100,0,1,1,,0.980183506702525,0.9789615982758296,14.417425355604616,0.6361461855894859,0.0670705728813115,0.3010584727773605,-0.0358644114166363,-0.040072471586059,0.46,0.26,0.59,0.24,0.42,0.48
vitality_baseline_024,Baseline prompt,1,100,0,1,1,,0.9827303402234716,0.9797974727384468,18.07073891842124,0.4202859763750514,0.0514678350519738,0.2603683726582563,0.1674103311895094,0.118631404611576,0.93,0.61,0.55,0.15,0.1,0.61
vitality_blueprint_024,Blueprint prompt,1,100,0,1,1,,0.985664142219876,0.9847472064945708,13.77064506439359,1.097791993310938,-0.0141564854257482,0.1444736008022811,-0.1123336488041798,-0.3481286503065421,0.33,0.26,0.33,0.21,0.31,0.44
vitality_baseline_025,Baseline prompt,1,100,0,1,1,,0.9880901384517567,0.9870211633255682,22.998811566362416,0.4250565960853464,0.5251978904651234,0.082912205715017,-0.0831555612668767,-0.1211391737900502,0.36,0.17,0.42,0.12,0.34,0.62
vitality_blueprint_025,Blueprint prompt,1,100,0,1,1,,0.9806082951178364,0.978695160744147,23.58028115839665,1.0535930990803744,0.0743138067826426,-0.1106414686548533,0.0524668913065061,0.0263294150534799,0.36,0.26,0.53,0.22,0.38,0.43
